Reference vector (1/18): 0.9965845, 0.082579345
1/100: weights=[0.64714986 1.3528502 ], train_loss=[1.886674  2.0196874], train_acc=[0.33758333 0.299125  ], test_loss=[1.8804067 2.0031583], test_acc=[0.3363  0.30795]
94/100: weights=[0.78819174 1.2118083 ], train_loss=[0.46595106 0.60469407], train_acc=[0.84879167 0.79685   ], test_loss=[0.45831725 0.60402393], test_acc=[0.85015 0.7979 ]
96/100: weights=[0.4637704 1.5362296], train_loss=[0.45952335 0.6011345 ], train_acc=[0.85145    0.79743333], test_loss=[0.45133668 0.5987433 ], test_acc=[0.85225 0.79805]
98/100: weights=[0.85198885 1.1480112 ], train_loss=[0.45722893 0.59379756], train_acc=[0.85179167 0.79948333], test_loss=[0.44904497 0.58977836], test_acc=[0.85285 0.80065]
100/100: weights=[1.3069935 0.6930065], train_loss=[0.45622414 0.59216076], train_acc=[0.85295833 0.799225  ], test_loss=[0.4480154 0.5884673], test_acc=[0.8533 0.8027]
Reference vector (4/18): 0.94581723, 0.32469946
1/100: weights=[1.16402   0.8359801], train_loss=[1.3905579 1.7267528], train_acc=[0.52985    0.40711667], test_loss=[1.3639327 1.7075478], test_acc=[0.5376  0.41025]
2/100: weights=[1.2974774  0.70252264], train_loss=[1.2169375 1.5030357], train_acc=[0.59041667 0.48355   ], test_loss=[1.193501  1.4892242], test_acc=[0.5953  0.48605]
4/100: weights=[0.8277606 1.1722394], train_loss=[1.0454613 1.3075981], train_acc=[0.65181667 0.552575  ], test_loss=[1.0291026 1.3015693], test_acc=[0.6549  0.55135]
6/100: weights=[1.2697681  0.73023194], train_loss=[0.9465393 1.1937251], train_acc=[0.68823333 0.59345833], test_loss=[0.93409675 1.1916711 ], test_acc=[0.6898  0.59355]
8/100: weights=[0.9844117 1.0155883], train_loss=[0.8672121 1.1168151], train_acc=[0.716625   0.61930833], test_loss=[0.8582594 1.1119723], test_acc=[0.7161  0.62125]
10/100: weights=[1.0213993  0.97860074], train_loss=[0.8181283 1.0486099], train_acc=[0.7341 0.6444], test_loss=[0.8117199 1.0438696], test_acc=[0.7341 0.6447]
12/100: weights=[1.127635 0.872365], train_loss=[0.7690497 0.9918761], train_acc=[0.74999167 0.664425  ], test_loss=[0.7622141 0.987953 ], test_acc=[0.75   0.6675]
14/100: weights=[1.4524336 0.5475665], train_loss=[0.7344799 0.9479226], train_acc=[0.761625   0.67986667], test_loss=[0.7283733 0.9439991], test_acc=[0.7613 0.6842]
16/100: weights=[1.498313 0.501687], train_loss=[0.7049722  0.90459174], train_acc=[0.7711     0.69634167], test_loss=[0.70064086 0.9008311 ], test_acc=[0.7708 0.6984]
18/100: weights=[1.205238   0.79476196], train_loss=[0.68027925 0.87451565], train_acc=[0.77870833 0.70583333], test_loss=[0.67759573 0.8694241 ], test_acc=[0.77955 0.70735]
20/100: weights=[1.4207515 0.5792486], train_loss=[0.6545091 0.8468054], train_acc=[0.7888 0.715 ], test_loss=[0.6516103  0.84366786], test_acc=[0.7878  0.71705]
22/100: weights=[1.1653872 0.8346129], train_loss=[0.64019376 0.82526207], train_acc=[0.79333333 0.72311667], test_loss=[0.63886654 0.8235213 ], test_acc=[0.79215 0.72655]
24/100: weights=[1.5597562  0.44024378], train_loss=[0.62391675 0.803328  ], train_acc=[0.79851667 0.73150833], test_loss=[0.62133545 0.8010114 ], test_acc=[0.79665 0.73455]
26/100: weights=[1.4713612  0.52863884], train_loss=[0.6052251  0.78647256], train_acc=[0.80454167 0.73639167], test_loss=[0.60417664 0.78543913], test_acc=[0.803   0.73955]
28/100: weights=[1.3933635 0.6066365], train_loss=[0.59220487 0.7668497 ], train_acc=[0.80844167 0.74406667], test_loss=[0.59017456 0.76641476], test_acc=[0.8084  0.74525]
30/100: weights=[0.8559868 1.1440133], train_loss=[0.581923  0.7592288], train_acc=[0.812025   0.74434167], test_loss=[0.58175206 0.7582896 ], test_acc=[0.81155 0.7462 ]
32/100: weights=[1.124895 0.875105], train_loss=[0.568535   0.73556846], train_acc=[0.816775 0.754675], test_loss=[0.56763136 0.73509437], test_acc=[0.8153 0.7565]
34/100: weights=[1.2696873  0.73031265], train_loss=[0.5585162  0.72268826], train_acc=[0.8198     0.75885833], test_loss=[0.5585173 0.722659 ], test_acc=[0.81935 0.76125]
36/100: weights=[1.044949   0.95505095], train_loss=[0.55535996 0.7120591 ], train_acc=[0.82025833 0.762075  ], test_loss=[0.55566293 0.712497  ], test_acc=[0.82055 0.76615]
38/100: weights=[0.52176386 1.4782362 ], train_loss=[0.5418031  0.70037687], train_acc=[0.82555    0.76569167], test_loss=[0.54146117 0.700457  ], test_acc=[0.82515 0.7658 ]
40/100: weights=[1.0542761  0.94572383], train_loss=[0.53270185 0.68778515], train_acc=[0.82853333 0.771025  ], test_loss=[0.53170145 0.6892605 ], test_acc=[0.82825 0.772  ]
42/100: weights=[0.630926 1.369074], train_loss=[0.52269197 0.67399263], train_acc=[0.83134167 0.775425  ], test_loss=[0.5228983  0.67527115], test_acc=[0.8317 0.7764]
44/100: weights=[1.4229692 0.5770308], train_loss=[0.518723  0.6665205], train_acc=[0.83259167 0.77764167], test_loss=[0.5172044 0.6692198], test_acc=[0.8321  0.77875]
46/100: weights=[0.99979454 1.0002054 ], train_loss=[0.5095205 0.6557002], train_acc=[0.835275   0.78065833], test_loss=[0.5109997 0.6578913], test_acc=[0.83475 0.7826 ]
48/100: weights=[0.88810575 1.1118942 ], train_loss=[0.50481707 0.64896977], train_acc=[0.83695    0.78190833], test_loss=[0.50522584 0.65234417], test_acc=[0.83695 0.7844 ]
50/100: weights=[0.9860245 1.0139755], train_loss=[0.4971403 0.6371087], train_acc=[0.83948333 0.78625   ], test_loss=[0.49825066 0.6387967 ], test_acc=[0.83915 0.7898 ]
52/100: weights=[1.4937254 0.5062746], train_loss=[0.49559835 0.6341394 ], train_acc=[0.84033333 0.786825  ], test_loss=[0.4970358 0.6364008], test_acc=[0.83675 0.79065]
54/100: weights=[0.63117784 1.3688222 ], train_loss=[0.48579314 0.62420905], train_acc=[0.843525   0.78959167], test_loss=[0.48980787 0.62658703], test_acc=[0.84065 0.7937 ]
56/100: weights=[0.8325263 1.1674737], train_loss=[0.48069936 0.6149846 ], train_acc=[0.84511667 0.79298333], test_loss=[0.484003   0.61918426], test_acc=[0.84345 0.7956 ]
58/100: weights=[0.8517116 1.1482884], train_loss=[0.4728413 0.610275 ], train_acc=[0.84710833 0.79415833], test_loss=[0.4744286 0.612831 ], test_acc=[0.84395 0.79895]
60/100: weights=[0.9999108 1.0000892], train_loss=[0.47051176 0.60573673], train_acc=[0.84803333 0.79625   ], test_loss=[0.47251835 0.6099512 ], test_acc=[0.846   0.80125]
62/100: weights=[1.5694034  0.43059656], train_loss=[0.46644083 0.6013019 ], train_acc=[0.849425   0.79750833], test_loss=[0.4687857 0.6047608], test_acc=[0.8476  0.80075]
64/100: weights=[0.75668633 1.2433137 ], train_loss=[0.46168962 0.5922214 ], train_acc=[0.850875 0.80105 ], test_loss=[0.46563354 0.5959289 ], test_acc=[0.8491  0.80525]
66/100: weights=[1.3638825  0.63611746], train_loss=[0.45451057 0.5871221 ], train_acc=[0.85285    0.80160833], test_loss=[0.4585846  0.59098864], test_acc=[0.85015 0.8067 ]
68/100: weights=[1.378804  0.6211961], train_loss=[0.45169532 0.5797841 ], train_acc=[0.85399167 0.80515   ], test_loss=[0.45739415 0.58484966], test_acc=[0.8515  0.80835]
70/100: weights=[0.87958163 1.1204184 ], train_loss=[0.4498517 0.579517 ], train_acc=[0.85368333 0.80499167], test_loss=[0.45638758 0.58538747], test_acc=[0.8521 0.808 ]
72/100: weights=[1.2888997 0.7111004], train_loss=[0.4409246 0.5739172], train_acc=[0.857075 0.806775], test_loss=[0.44395304 0.57992303], test_acc=[0.8554 0.8103]
74/100: weights=[0.8446417 1.1553583], train_loss=[0.43939906 0.5666259 ], train_acc=[0.85788333 0.80895   ], test_loss=[0.44426766 0.5712216 ], test_acc=[0.8564  0.81295]
76/100: weights=[1.335106 0.664894], train_loss=[0.43792465 0.56478894], train_acc=[0.85749167 0.811925  ], test_loss=[0.44427425 0.57317775], test_acc=[0.85555 0.8139 ]
78/100: weights=[0.35579547 1.6442045 ], train_loss=[0.43117553 0.56031555], train_acc=[0.85961667 0.81115   ], test_loss=[0.43719    0.56649494], test_acc=[0.85725 0.81595]
80/100: weights=[1.5770373  0.42296273], train_loss=[0.4357887  0.55443543], train_acc=[0.85899167 0.81375833], test_loss=[0.43997222 0.56289953], test_acc=[0.8552  0.81945]
82/100: weights=[1.6327518  0.36724815], train_loss=[0.43040004 0.55083084], train_acc=[0.85974167 0.814975  ], test_loss=[0.43667766 0.55774444], test_acc=[0.8577  0.81875]
84/100: weights=[1.469088  0.5309121], train_loss=[0.4227921  0.54471624], train_acc=[0.86214167 0.817275  ], test_loss=[0.4277129  0.55257803], test_acc=[0.8609  0.82105]
86/100: weights=[1.1161451  0.88385487], train_loss=[0.42316812 0.5439269 ], train_acc=[0.86243333 0.81745   ], test_loss=[0.42935002 0.5519461 ], test_acc=[0.86095 0.81955]
88/100: weights=[0.8625138 1.1374862], train_loss=[0.4164627  0.54008585], train_acc=[0.86421667 0.81981667], test_loss=[0.4233469 0.5498689], test_acc=[0.8618  0.82315]
90/100: weights=[0.832655 1.167345], train_loss=[0.41217655 0.53619754], train_acc=[0.865475   0.82014167], test_loss=[0.41955587 0.5438565 ], test_acc=[0.86285 0.8232 ]
92/100: weights=[1.2167691  0.78323096], train_loss=[0.40753403 0.5320762 ], train_acc=[0.86725833 0.821325  ], test_loss=[0.41635424 0.5405499 ], test_acc=[0.86365 0.82525]
94/100: weights=[1.453934  0.5460661], train_loss=[0.4081401  0.52941984], train_acc=[0.867225   0.82256667], test_loss=[0.41578332 0.5388929 ], test_acc=[0.86385 0.8253 ]
96/100: weights=[1.6159657  0.38403425], train_loss=[0.41156834 0.52585405], train_acc=[0.86576667 0.82419167], test_loss=[0.41937736 0.53453696], test_acc=[0.8632 0.8278]
98/100: weights=[1.0789317  0.92106825], train_loss=[0.40012607 0.5221948 ], train_acc=[0.86940833 0.82565833], test_loss=[0.40941447 0.5302966 ], test_acc=[0.86625 0.82705]
100/100: weights=[1.2458104  0.75418955], train_loss=[0.39705712 0.5180961 ], train_acc=[0.87059167 0.82639167], test_loss=[0.40532136 0.52656925], test_acc=[0.86725 0.82825]
Reference vector (5/18): 0.91577333, 0.40169543
1/100: weights=[0.9025151 1.0974848], train_loss=[1.9131929 1.9852443], train_acc=[0.34854167 0.30245   ], test_loss=[1.9042106 1.9757049], test_acc=[0.3475  0.30325]
2/100: weights=[0.36985567 1.6301444 ], train_loss=[1.6644784 1.6899842], train_acc=[0.43476667 0.41980833], test_loss=[1.6513245 1.6823826], test_acc=[0.43285 0.42425]
4/100: weights=[1.2410161  0.75898385], train_loss=[1.3660662 1.4593124], train_acc=[0.542375 0.499625], test_loss=[1.3496    1.4520934], test_acc=[0.5463 0.502 ]
6/100: weights=[1.1259415  0.87405854], train_loss=[1.2312096 1.3086486], train_acc=[0.59021667 0.55179167], test_loss=[1.2121983 1.3017461], test_acc=[0.5983 0.5511]
8/100: weights=[1.1844493 0.8155507], train_loss=[1.1138073 1.2121967], train_acc=[0.63435833 0.58429167], test_loss=[1.0955999 1.2059035], test_acc=[0.6425 0.586 ]
10/100: weights=[1.1380122 0.8619878], train_loss=[1.01817   1.1318011], train_acc=[0.6697     0.61356667], test_loss=[1.0009578 1.1256306], test_acc=[0.6759  0.61365]
12/100: weights=[1.2077035  0.79229647], train_loss=[0.9377887 1.0662813], train_acc=[0.696875   0.63639167], test_loss=[0.92075145 1.059197  ], test_acc=[0.70155 0.6366 ]
14/100: weights=[0.99893177 1.0010682 ], train_loss=[0.87741697 1.0066603 ], train_acc=[0.715675   0.65793333], test_loss=[0.8624596 1.0008628], test_acc=[0.72075 0.6577 ]
16/100: weights=[0.7923538 1.2076463], train_loss=[0.82341397 0.9611728 ], train_acc=[0.73349167 0.67321667], test_loss=[0.80849797 0.9547714 ], test_acc=[0.7373 0.6749]
18/100: weights=[0.83098847 1.1690116 ], train_loss=[0.7777668 0.9227298], train_acc=[0.74773333 0.68759167], test_loss=[0.7628415 0.9188726], test_acc=[0.7518 0.6903]
20/100: weights=[0.9425873 1.0574127], train_loss=[0.7437921 0.8931071], train_acc=[0.75820833 0.697225  ], test_loss=[0.72850436 0.8866415 ], test_acc=[0.7621  0.69945]
22/100: weights=[0.59062076 1.4093792 ], train_loss=[0.716482  0.8657492], train_acc=[0.766725   0.70824167], test_loss=[0.7023035 0.8603458], test_acc=[0.76795 0.71325]
24/100: weights=[0.6681876 1.3318124], train_loss=[0.6920512 0.8384301], train_acc=[0.774675   0.71766667], test_loss=[0.67746407 0.8344558 ], test_acc=[0.77495 0.7192 ]
26/100: weights=[1.0090072  0.99099284], train_loss=[0.672893   0.82195306], train_acc=[0.7811   0.722925], test_loss=[0.65994245 0.81730616], test_acc=[0.7817  0.72395]
28/100: weights=[0.86559856 1.1344014 ], train_loss=[0.65270257 0.7957138 ], train_acc=[0.78709167 0.73221667], test_loss=[0.64065814 0.7915573 ], test_acc=[0.78865 0.7325 ]
30/100: weights=[0.8164214 1.1835786], train_loss=[0.6380956  0.77762324], train_acc=[0.79220833 0.73755833], test_loss=[0.6250191  0.77464974], test_acc=[0.794  0.7392]
32/100: weights=[0.68260527 1.3173947 ], train_loss=[0.6215268 0.7663659], train_acc=[0.79795  0.740975], test_loss=[0.6082353  0.76285005], test_acc=[0.79875 0.7427 ]
34/100: weights=[0.7221725 1.2778275], train_loss=[0.6066124 0.749147 ], train_acc=[0.80333333 0.7475    ], test_loss=[0.59469175 0.7469554 ], test_acc=[0.8029 0.7499]
36/100: weights=[1.1770607 0.8229393], train_loss=[0.60357034 0.7430199 ], train_acc=[0.80424167 0.75026667], test_loss=[0.5937234 0.7419392], test_acc=[0.80535 0.753  ]
38/100: weights=[1.4072789  0.59272116], train_loss=[0.5845056 0.7246738], train_acc=[0.81045    0.75534167], test_loss=[0.57282937 0.7214396 ], test_acc=[0.80945 0.75905]
40/100: weights=[1.01032    0.98968005], train_loss=[0.57188654 0.71538055], train_acc=[0.81405833 0.75871667], test_loss=[0.56130415 0.71472675], test_acc=[0.81455 0.7607 ]
42/100: weights=[1.102683 0.897317], train_loss=[0.5624937  0.70358545], train_acc=[0.81755    0.76350833], test_loss=[0.5516654 0.70121  ], test_acc=[0.81575 0.76645]
44/100: weights=[1.090971   0.90902895], train_loss=[0.5581507 0.6930921], train_acc=[0.81963333 0.766975  ], test_loss=[0.54733396 0.6907262 ], test_acc=[0.81895 0.76795]
46/100: weights=[1.5814589  0.41854104], train_loss=[0.548725  0.6847362], train_acc=[0.82264167 0.769125  ], test_loss=[0.5401382 0.6820475], test_acc=[0.8215 0.7698]
48/100: weights=[1.1160157  0.88398427], train_loss=[0.54034996 0.6804963 ], train_acc=[0.82488333 0.77105   ], test_loss=[0.5333372 0.6775208], test_acc=[0.82425 0.7731 ]
50/100: weights=[0.6915232 1.3084768], train_loss=[0.53529465 0.6687346 ], train_acc=[0.8267   0.774275], test_loss=[0.52456707 0.6670088 ], test_acc=[0.82735 0.77625]
52/100: weights=[1.0623993  0.93760073], train_loss=[0.5287127 0.6660274], train_acc=[0.82804167 0.77655833], test_loss=[0.5218959  0.66621846], test_acc=[0.8261 0.7777]
54/100: weights=[0.9554878 1.0445123], train_loss=[0.52768683 0.65091693], train_acc=[0.82854167 0.78084167], test_loss=[0.5184066 0.6499404], test_acc=[0.82945 0.782  ]
56/100: weights=[0.62256485 1.3774351 ], train_loss=[0.5141527 0.6462236], train_acc=[0.833425   0.78290833], test_loss=[0.5053087 0.6438438], test_acc=[0.83435 0.78545]
58/100: weights=[0.87980616 1.1201938 ], train_loss=[0.51118284 0.63859785], train_acc=[0.834125   0.78571667], test_loss=[0.50447416 0.63819605], test_acc=[0.83405 0.78565]
60/100: weights=[0.9676305 1.0323695], train_loss=[0.5062583 0.6336024], train_acc=[0.8358     0.78811667], test_loss=[0.49995187 0.6333235 ], test_acc=[0.83555 0.7886 ]
62/100: weights=[0.81040865 1.1895913 ], train_loss=[0.49776176 0.6280491 ], train_acc=[0.8388     0.78814167], test_loss=[0.48939246 0.6256963 ], test_acc=[0.8387  0.78945]
64/100: weights=[0.69335055 1.3066494 ], train_loss=[0.49223807 0.6242345 ], train_acc=[0.84055    0.78941667], test_loss=[0.48507425 0.6215448 ], test_acc=[0.83995 0.79075]
66/100: weights=[1.2133147  0.78668535], train_loss=[0.49467528 0.61907333], train_acc=[0.84013333 0.79158333], test_loss=[0.48792982 0.6190972 ], test_acc=[0.8402 0.7935]
68/100: weights=[0.9567092 1.0432907], train_loss=[0.48615614 0.61525404], train_acc=[0.842725   0.79483333], test_loss=[0.47930387 0.61447126], test_acc=[0.84285 0.79685]
70/100: weights=[1.310009 0.689991], train_loss=[0.48618844 0.6140077 ], train_acc=[0.842525 0.795   ], test_loss=[0.47946003 0.61803365], test_acc=[0.84255 0.7948 ]
72/100: weights=[0.69825613 1.3017439 ], train_loss=[0.47634608 0.6020444 ], train_acc=[0.84644167 0.7979    ], test_loss=[0.46994194 0.6022368 ], test_acc=[0.84705 0.7984 ]
74/100: weights=[0.3505901 1.6494099], train_loss=[0.47246474 0.60011685], train_acc=[0.8474   0.798675], test_loss=[0.4657907 0.5996118], test_acc=[0.847  0.7981]
76/100: weights=[1.5661726  0.43382737], train_loss=[0.4755643 0.5921229], train_acc=[0.84654167 0.801075  ], test_loss=[0.46890014 0.59154546], test_acc=[0.848 0.802]
78/100: weights=[1.0464143 0.9535857], train_loss=[0.46766564 0.58832437], train_acc=[0.84919167 0.80253333], test_loss=[0.46284747 0.5860367 ], test_acc=[0.84685 0.802  ]
80/100: weights=[0.97276866 1.0272313 ], train_loss=[0.46300483 0.5838991 ], train_acc=[0.850375 0.804725], test_loss=[0.45807636 0.5826746 ], test_acc=[0.85035 0.80555]
82/100: weights=[1.1748813 0.8251186], train_loss=[0.45822957 0.58305067], train_acc=[0.85258333 0.80574167], test_loss=[0.45373696 0.5829457 ], test_acc=[0.85215 0.80485]
84/100: weights=[1.2192334 0.7807666], train_loss=[0.4567755  0.57764703], train_acc=[0.85358333 0.806075  ], test_loss=[0.45222613 0.57582873], test_acc=[0.8535 0.8063]
86/100: weights=[1.5956576  0.40434238], train_loss=[0.4528009  0.57236683], train_acc=[0.85446667 0.80863333], test_loss=[0.44790328 0.5742843 ], test_acc=[0.8538 0.8092]
88/100: weights=[0.6127973 1.3872027], train_loss=[0.44884813 0.568531  ], train_acc=[0.856725 0.8106  ], test_loss=[0.44467536 0.5703183 ], test_acc=[0.857   0.81095]
90/100: weights=[0.82335484 1.1766452 ], train_loss=[0.4457445 0.563906 ], train_acc=[0.85765833 0.81135   ], test_loss=[0.44290558 0.56318444], test_acc=[0.8566 0.8125]
92/100: weights=[0.8814588 1.1185411], train_loss=[0.44398242 0.56387436], train_acc=[0.85770833 0.81143333], test_loss=[0.44176847 0.56511015], test_acc=[0.8564  0.81195]
94/100: weights=[1.0690193 0.9309807], train_loss=[0.44011334 0.55754167], train_acc=[0.85836667 0.813425  ], test_loss=[0.43861613 0.5595156 ], test_acc=[0.85725 0.81315]
96/100: weights=[0.88795733 1.1120427 ], train_loss=[0.44040212 0.5579769 ], train_acc=[0.85790833 0.81343333], test_loss=[0.43856165 0.5586926 ], test_acc=[0.8551 0.8137]
98/100: weights=[1.1849878 0.8150122], train_loss=[0.4386482  0.55288875], train_acc=[0.85845833 0.8157    ], test_loss=[0.43764067 0.554668  ], test_acc=[0.8567 0.8155]
100/100: weights=[0.852567 1.147433], train_loss=[0.43604308 0.5488485 ], train_acc=[0.85901667 0.816725  ], test_loss=[0.43353915 0.5508705 ], test_acc=[0.8582  0.81655]
Reference vector (6/18): 0.87947375, 0.47594738
1/100: weights=[1.4321606 0.5678394], train_loss=[2.1410558 2.1691813], train_acc=[0.240375   0.20364167], test_loss=[2.1373994 2.1684277], test_acc=[0.2358  0.20045]
2/100: weights=[0.76252025 1.2374797 ], train_loss=[2.0788727 2.0678906], train_acc=[0.27948333 0.25870833], test_loss=[2.0726626 2.0672326], test_acc=[0.2774  0.25535]
4/100: weights=[0.7611982 1.2388017], train_loss=[1.963119  1.9520614], train_acc=[0.31958333 0.30994167], test_loss=[1.9571345 1.9481848], test_acc=[0.3151  0.31125]
6/100: weights=[1.0167583 0.9832416], train_loss=[1.8375732 1.8592813], train_acc=[0.367      0.35071667], test_loss=[1.8303497 1.8506973], test_acc=[0.3612 0.3484]
8/100: weights=[0.6236083 1.3763916], train_loss=[1.7117842 1.782138 ], train_acc=[0.41270833 0.37931667], test_loss=[1.7010927 1.7707391], test_acc=[0.4142 0.3804]
10/100: weights=[0.69261146 1.3073885 ], train_loss=[1.5972751 1.7281452], train_acc=[0.46346667 0.39929167], test_loss=[1.5853653 1.7163674], test_acc=[0.4655  0.40065]
12/100: weights=[0.9497307 1.0502692], train_loss=[1.5167829 1.6665806], train_acc=[0.491875   0.41800833], test_loss=[1.5055922 1.657054 ], test_acc=[0.4934  0.41855]
14/100: weights=[0.9221728 1.0778272], train_loss=[1.445619  1.6165696], train_acc=[0.51473333 0.43290833], test_loss=[1.4348425 1.6074468], test_acc=[0.5176 0.4338]
16/100: weights=[0.6062369 1.3937632], train_loss=[1.3923421 1.571341 ], train_acc=[0.5335     0.45285833], test_loss=[1.3806572 1.5638621], test_acc=[0.5366 0.4506]
18/100: weights=[1.113831  0.8861689], train_loss=[1.3290011 1.525278 ], train_acc=[0.55595  0.464925], test_loss=[1.3196226 1.5170288], test_acc=[0.55805 0.46605]
20/100: weights=[0.35774216 1.6422578 ], train_loss=[1.2712866 1.503126 ], train_acc=[0.57623333 0.47275   ], test_loss=[1.2625129 1.4966695], test_acc=[0.57715 0.47255]
22/100: weights=[0.96141046 1.0385895 ], train_loss=[1.2278353 1.4697208], train_acc=[0.59054167 0.48286667], test_loss=[1.2193532 1.4645547], test_acc=[0.5909  0.48275]
24/100: weights=[1.5350162  0.46498388], train_loss=[1.179838  1.4427704], train_acc=[0.607675   0.49300833], test_loss=[1.1713825 1.43763  ], test_acc=[0.6087 0.4898]
26/100: weights=[0.84780437 1.1521956 ], train_loss=[1.1465706 1.4088483], train_acc=[0.62055833 0.50543333], test_loss=[1.140023  1.4044839], test_acc=[0.6185  0.50405]
28/100: weights=[0.8863046 1.1136954], train_loss=[1.1010182 1.3926471], train_acc=[0.63478333 0.51016667], test_loss=[1.0945133 1.3912268], test_acc=[0.6341  0.50775]
30/100: weights=[1.2371047  0.76289535], train_loss=[1.0698936 1.3657411], train_acc=[0.64604167 0.52044167], test_loss=[1.0641967 1.3637246], test_acc=[0.64675 0.51945]
32/100: weights=[0.9627892 1.0372108], train_loss=[1.0453773 1.3340617], train_acc=[0.65381667 0.53181667], test_loss=[1.0387456 1.3333902], test_acc=[0.65385 0.531  ]
34/100: weights=[1.0509216 0.9490785], train_loss=[1.0115288 1.3168672], train_acc=[0.66518333 0.536475  ], test_loss=[1.0036303 1.3155168], test_acc=[0.6651 0.5345]
36/100: weights=[1.0593771  0.94062287], train_loss=[0.9879856 1.2941939], train_acc=[0.6728     0.54681667], test_loss=[0.97989917 1.2969359 ], test_acc=[0.67275 0.54405]
38/100: weights=[1.1230172  0.87698275], train_loss=[0.96193784 1.2729125 ], train_acc=[0.68184167 0.55401667], test_loss=[0.95332223 1.2759305 ], test_acc=[0.6808 0.549 ]
40/100: weights=[1.2199191 0.7800809], train_loss=[0.9431113 1.2508905], train_acc=[0.68886667 0.56085833], test_loss=[0.93432176 1.2527499 ], test_acc=[0.6876 0.5578]
42/100: weights=[1.243918  0.7560821], train_loss=[0.9208197 1.2347592], train_acc=[0.69548333 0.5674    ], test_loss=[0.90971   1.2376086], test_acc=[0.69625 0.564  ]
44/100: weights=[0.49028552 1.5097145 ], train_loss=[0.9067088 1.2178563], train_acc=[0.700325 0.572925], test_loss=[0.8979034 1.2193445], test_acc=[0.69885 0.56905]
46/100: weights=[1.0249954  0.97500455], train_loss=[0.88705426 1.2005805 ], train_acc=[0.70755833 0.58051667], test_loss=[0.8754856 1.2051451], test_acc=[0.7071  0.57565]
48/100: weights=[0.80523163 1.1947684 ], train_loss=[0.8711001 1.1854093], train_acc=[0.71284167 0.586025  ], test_loss=[0.8594013 1.1892376], test_acc=[0.71235 0.5808 ]
50/100: weights=[1.3032751 0.6967249], train_loss=[0.8578339 1.168558 ], train_acc=[0.71765 0.5911 ], test_loss=[0.84529847 1.1735145 ], test_acc=[0.7177 0.5864]
52/100: weights=[1.1244335 0.8755664], train_loss=[0.83876336 1.1597768 ], train_acc=[0.724025   0.59300833], test_loss=[0.8260872 1.1637114], test_acc=[0.7237 0.5892]
54/100: weights=[0.55007064 1.4499294 ], train_loss=[0.82639   1.1472368], train_acc=[0.728225   0.59716667], test_loss=[0.81424224 1.1519821 ], test_acc=[0.72905 0.5936 ]
56/100: weights=[0.8220812 1.1779188], train_loss=[0.8144364 1.1375164], train_acc=[0.73355    0.60045833], test_loss=[0.8022769 1.1392999], test_acc=[0.73445 0.59865]
58/100: weights=[1.1800854 0.8199146], train_loss=[0.8023061 1.124579 ], train_acc=[0.73658333 0.60598333], test_loss=[0.789778 1.129074], test_acc=[0.73815 0.6027 ]
60/100: weights=[1.2489719 0.7510281], train_loss=[0.79865533 1.1167264 ], train_acc=[0.73789167 0.60695   ], test_loss=[0.78685796 1.1200264 ], test_acc=[0.7407 0.6059]
62/100: weights=[1.4297843  0.57021576], train_loss=[0.778124  1.1058977], train_acc=[0.74475    0.61368333], test_loss=[0.76491517 1.1101929 ], test_acc=[0.74725 0.61145]
64/100: weights=[1.2114482  0.78855187], train_loss=[0.7696792 1.0934486], train_acc=[0.74774167 0.61855   ], test_loss=[0.7567876 1.0978792], test_acc=[0.7478  0.61835]
66/100: weights=[1.50342    0.49657995], train_loss=[0.7604973 1.0828818], train_acc=[0.75085    0.62214167], test_loss=[0.74866015 1.0875347 ], test_acc=[0.7535  0.62255]
68/100: weights=[0.8550119 1.1449881], train_loss=[0.7532843 1.0708251], train_acc=[0.75369167 0.626875  ], test_loss=[0.74104697 1.0745009 ], test_acc=[0.75645 0.6272 ]
70/100: weights=[0.77375084 1.2262492 ], train_loss=[0.7491214 1.0619218], train_acc=[0.75530833 0.62976667], test_loss=[0.7374291 1.064477 ], test_acc=[0.7589  0.63075]
72/100: weights=[0.91696316 1.0830368 ], train_loss=[0.7410341 1.0499536], train_acc=[0.757975   0.63504167], test_loss=[0.72925735 1.0535431 ], test_acc=[0.75965 0.6375 ]
74/100: weights=[0.343879 1.656121], train_loss=[0.7356225 1.0421889], train_acc=[0.759325   0.63793333], test_loss=[0.7237068 1.044423 ], test_acc=[0.7608 0.6417]
76/100: weights=[0.64964426 1.3503557 ], train_loss=[0.7284619 1.0318139], train_acc=[0.76211667 0.64165   ], test_loss=[0.71664435 1.0331179 ], test_acc=[0.7635 0.6441]
78/100: weights=[1.4668791 0.5331208], train_loss=[0.724326  1.0193397], train_acc=[0.76334167 0.64779167], test_loss=[0.71235615 1.024924  ], test_acc=[0.7654 0.6485]
80/100: weights=[1.5273846  0.47261542], train_loss=[0.7177331 1.0121896], train_acc=[0.76610833 0.650425  ], test_loss=[0.7054034 1.0139933], test_acc=[0.7676  0.65185]
82/100: weights=[1.2290201 0.7709799], train_loss=[0.71764123 1.0037732 ], train_acc=[0.76495    0.65408333], test_loss=[0.7040849 1.005983 ], test_acc=[0.7681 0.6557]
84/100: weights=[1.3397624  0.66023755], train_loss=[0.70992404 0.99277836], train_acc=[0.76876667 0.65948333], test_loss=[0.6977771 0.9949175], test_acc=[0.7711  0.66115]
