Reference vector (1/18): 0.9965845, 0.082579345
kappa to 0
kappa to 0
1/100: weights=[1.9617672  0.03823283], train_loss=[2.0726743 2.4476614], train_acc=[0.24523333 0.11563333], test_loss=[2.076632  2.4531908], test_acc=[0.24685 0.1172 ]
94/100: weights=[1.8985552  0.10144486], train_loss=[0.29849812 0.57606167], train_acc=[0.902925 0.80905 ], test_loss=[0.31961462 0.56316185], test_acc=[0.89635 0.81265]
96/100: weights=[1.9325982  0.06740183], train_loss=[0.3078085  0.57375455], train_acc=[0.90016667 0.80953333], test_loss=[0.32499817 0.56308556], test_acc=[0.8956  0.80985]
98/100: weights=[1.9493319  0.05066815], train_loss=[0.29357705 0.56523424], train_acc=[0.90490833 0.81243333], test_loss=[0.31249025 0.5542728 ], test_acc=[0.8966  0.81345]
100/100: weights=[1.7985259  0.20147412], train_loss=[0.2932679  0.56404245], train_acc=[0.90441667 0.81195   ], test_loss=[0.3125501 0.5516909], test_acc=[0.8979 0.8148]
Reference vector (4/18): 0.94581723, 0.32469946
1/100: weights=[1.8794239  0.12057611], train_loss=[1.7978914 2.4545178], train_acc=[0.38515833 0.15349167], test_loss=[1.8132184 2.4466805], test_acc=[0.37905 0.15225]
2/100: weights=[1.8827889 0.1172111], train_loss=[1.6031903 2.4626832], train_acc=[0.45854167 0.17004167], test_loss=[1.6206627 2.4494672], test_acc=[0.4548  0.17565]
4/100: weights=[1.6485411  0.35145885], train_loss=[1.3313485 2.349183 ], train_acc=[0.56000833 0.21248333], test_loss=[1.3384241 2.3341813], test_acc=[0.55525 0.21635]
6/100: weights=[1.913147   0.08685304], train_loss=[1.124274 2.213852], train_acc=[0.63015    0.26110833], test_loss=[1.1183033 2.1955614], test_acc=[0.6347 0.2679]
8/100: weights=[1.8541622  0.14583777], train_loss=[1.0101614 2.035754 ], train_acc=[0.66990833 0.309575  ], test_loss=[1.0012156 2.021384 ], test_acc=[0.6744 0.3129]
10/100: weights=[1.7389498  0.26105022], train_loss=[0.9191049 1.8964232], train_acc=[0.70131667 0.35198333], test_loss=[0.9068913 1.8809444], test_acc=[0.7058 0.3584]
12/100: weights=[1.7784235  0.22157641], train_loss=[0.8496958 1.7674012], train_acc=[0.72403333 0.39550833], test_loss=[0.8389473 1.7510425], test_acc=[0.7292 0.4038]
14/100: weights=[1.8445469 0.1554531], train_loss=[0.80089563 1.6491013 ], train_acc=[0.73955833 0.432475  ], test_loss=[0.7891227 1.6299348], test_acc=[0.742  0.4412]
16/100: weights=[1.6973362  0.30266386], train_loss=[0.7570019 1.5553026], train_acc=[0.75500833 0.4642    ], test_loss=[0.7482356 1.537799 ], test_acc=[0.7577  0.46875]
18/100: weights=[1.6378185  0.36218154], train_loss=[0.72304344 1.4704807 ], train_acc=[0.7659     0.49285833], test_loss=[0.7122805 1.4522513], test_acc=[0.7701  0.49955]
20/100: weights=[1.9548086  0.04519137], train_loss=[0.69801664 1.3901842 ], train_acc=[0.77420833 0.52055833], test_loss=[0.68826056 1.3734072 ], test_acc=[0.77695 0.52625]
22/100: weights=[1.8906748  0.10932522], train_loss=[0.6726889 1.3260535], train_acc=[0.7828     0.54381667], test_loss=[0.6627164 1.3099898], test_acc=[0.7842  0.55295]
24/100: weights=[1.9249225 0.0750775], train_loss=[0.65152013 1.271725  ], train_acc=[0.78964167 0.5631    ], test_loss=[0.6423734 1.2554387], test_acc=[0.7902  0.57075]
26/100: weights=[1.8651037  0.13489628], train_loss=[0.6322303 1.2186834], train_acc=[0.79520833 0.58179167], test_loss=[0.6212674 1.203321 ], test_acc=[0.7991 0.5867]
28/100: weights=[1.8098496 0.1901504], train_loss=[0.61524206 1.177174  ], train_acc=[0.80131667 0.595275  ], test_loss=[0.6061841 1.1624523], test_acc=[0.80155 0.6018 ]
30/100: weights=[1.64516    0.35483998], train_loss=[0.60649604 1.1328096 ], train_acc=[0.804025   0.61129167], test_loss=[0.5993713 1.1195741], test_acc=[0.80475 0.61845]
32/100: weights=[1.8946031  0.10539685], train_loss=[0.5841766 1.0993915], train_acc=[0.81191667 0.62465   ], test_loss=[0.57713664 1.0843979 ], test_acc=[0.8118  0.62975]
34/100: weights=[1.7842792  0.21572082], train_loss=[0.56980693 1.0690804 ], train_acc=[0.81624167 0.63451667], test_loss=[0.56429607 1.053504  ], test_acc=[0.81575 0.64095]
36/100: weights=[1.7641419 0.2358581], train_loss=[0.5606808 1.0340731], train_acc=[0.81919167 0.64756667], test_loss=[0.55366683 1.0190969 ], test_acc=[0.81805 0.6525 ]
38/100: weights=[1.7529259  0.24707408], train_loss=[0.5576454 1.0131562], train_acc=[0.81899167 0.65464167], test_loss=[0.5503049  0.99639463], test_acc=[0.81985 0.6601 ]
40/100: weights=[1.8278981  0.17210189], train_loss=[0.5369775 0.9857276], train_acc=[0.82629167 0.664075  ], test_loss=[0.5293003 0.9693158], test_acc=[0.82865 0.6701 ]
42/100: weights=[1.6286688 0.3713312], train_loss=[0.5292202  0.96155655], train_acc=[0.829575   0.67240833], test_loss=[0.52491105 0.9453809 ], test_acc=[0.8289  0.67765]
44/100: weights=[1.4570878  0.54291224], train_loss=[0.5186634  0.94196236], train_acc=[0.83303333 0.67951667], test_loss=[0.51377344 0.92724025], test_acc=[0.83235 0.68485]
46/100: weights=[1.9473383  0.05266163], train_loss=[0.5157021  0.92085886], train_acc=[0.83344167 0.68591667], test_loss=[0.51137686 0.90555066], test_acc=[0.83305 0.6928 ]
48/100: weights=[1.9063454  0.09365461], train_loss=[0.5040452 0.9019682], train_acc=[0.83755    0.69264167], test_loss=[0.5005387 0.8857056], test_acc=[0.83625 0.6995 ]
50/100: weights=[1.7930288  0.20697111], train_loss=[0.49658543 0.8829613 ], train_acc=[0.84073333 0.69940833], test_loss=[0.4920439 0.866162 ], test_acc=[0.8378  0.70725]
52/100: weights=[1.91433    0.08566994], train_loss=[0.49052304 0.871447  ], train_acc=[0.842225   0.70350833], test_loss=[0.48663166 0.85585845], test_acc=[0.8401 0.7088]
54/100: weights=[1.6748523  0.32514772], train_loss=[0.4983841 0.8552788], train_acc=[0.83975    0.70919167], test_loss=[0.4933864 0.8372378], test_acc=[0.8372  0.71495]
56/100: weights=[1.9172076  0.08279239], train_loss=[0.4854529 0.842332 ], train_acc=[0.84340833 0.71430833], test_loss=[0.48744342 0.82470345], test_acc=[0.84015 0.71985]
58/100: weights=[1.8879808  0.11201924], train_loss=[0.472954   0.82886684], train_acc=[0.8481 0.7183], test_loss=[0.46929026 0.8107413 ], test_acc=[0.8445 0.7243]
60/100: weights=[1.5950623  0.40493777], train_loss=[0.46431097 0.81457573], train_acc=[0.850325 0.724   ], test_loss=[0.46323377 0.7994263 ], test_acc=[0.84585 0.72815]
62/100: weights=[1.9197528  0.08024715], train_loss=[0.46113342 0.8035551 ], train_acc=[0.851725   0.72770833], test_loss=[0.46245393 0.78641635], test_acc=[0.8491 0.7323]
64/100: weights=[1.745767   0.25423303], train_loss=[0.45242107 0.79134977], train_acc=[0.85411667 0.7314    ], test_loss=[0.45269772 0.7754443 ], test_acc=[0.8499 0.7352]
66/100: weights=[1.8675328 0.1324672], train_loss=[0.4574487 0.7823473], train_acc=[0.852575   0.73483333], test_loss=[0.45378482 0.7663426 ], test_acc=[0.85085 0.7406 ]
68/100: weights=[1.785676   0.21432406], train_loss=[0.44597602 0.77064043], train_acc=[0.85608333 0.73869167], test_loss=[0.4463431 0.7557728], test_acc=[0.85215 0.74495]
70/100: weights=[1.8372513  0.16274868], train_loss=[0.44163403 0.7626157 ], train_acc=[0.85751667 0.74195833], test_loss=[0.44144377 0.74730974], test_acc=[0.8554  0.74745]
72/100: weights=[1.6898203  0.31017974], train_loss=[0.4378381 0.7522269], train_acc=[0.858625 0.745375], test_loss=[0.4415787 0.735449 ], test_acc=[0.853   0.75065]
74/100: weights=[1.8662744 0.1337256], train_loss=[0.44428995 0.7443717 ], train_acc=[0.85629167 0.748275  ], test_loss=[0.45026645 0.73014706], test_acc=[0.85   0.7534]
76/100: weights=[1.6188835  0.38111654], train_loss=[0.4372134 0.7366229], train_acc=[0.85886667 0.75076667], test_loss=[0.43822795 0.72015584], test_acc=[0.8559  0.75575]
78/100: weights=[1.6920501 0.3079499], train_loss=[0.42286104 0.72744334], train_acc=[0.86361667 0.75418333], test_loss=[0.42513826 0.7127223 ], test_acc=[0.85945 0.75825]
80/100: weights=[1.943905   0.05609502], train_loss=[0.43046197 0.7220836 ], train_acc=[0.861825   0.75560833], test_loss=[0.43322664 0.7063151 ], test_acc=[0.85805 0.7612 ]
82/100: weights=[1.5209601  0.47903997], train_loss=[0.42731592 0.7116308 ], train_acc=[0.86175  0.759475], test_loss=[0.4331272  0.69661254], test_acc=[0.85685 0.7653 ]
84/100: weights=[1.8023671  0.19763294], train_loss=[0.42319384 0.70453054], train_acc=[0.86261667 0.76235833], test_loss=[0.42901242 0.6887525 ], test_acc=[0.8566  0.76645]
86/100: weights=[1.8775681  0.12243181], train_loss=[0.41183323 0.69837487], train_acc=[0.86713333 0.76446667], test_loss=[0.41815332 0.6853026 ], test_acc=[0.8631 0.7677]
88/100: weights=[1.4926531  0.50734687], train_loss=[0.41395748 0.6933568 ], train_acc=[0.86615833 0.765975  ], test_loss=[0.4210958 0.6807665], test_acc=[0.86095 0.77065]
90/100: weights=[1.98297 0.01703], train_loss=[0.40437374 0.6842858 ], train_acc=[0.86939167 0.7696    ], test_loss=[0.41132167 0.6706726 ], test_acc=[0.8632  0.77315]
92/100: weights=[1.7693398  0.23066017], train_loss=[0.40243205 0.67703927], train_acc=[0.86974167 0.77221667], test_loss=[0.40838954 0.66474456], test_acc=[0.8658 0.7783]
94/100: weights=[1.7836446  0.21635544], train_loss=[0.40076607 0.6734726 ], train_acc=[0.87030833 0.77345833], test_loss=[0.40476876 0.6607756 ], test_acc=[0.86615 0.7775 ]
96/100: weights=[1.6514874  0.34851268], train_loss=[0.3969617 0.6648198], train_acc=[0.871875 0.776675], test_loss=[0.406297   0.65217245], test_acc=[0.86545 0.78135]
98/100: weights=[1.7874657  0.21253426], train_loss=[0.39238405 0.6589733 ], train_acc=[0.87305833 0.779     ], test_loss=[0.4000852 0.6470709], test_acc=[0.8666  0.78235]
100/100: weights=[1.5889546  0.41104543], train_loss=[0.38767022 0.65275395], train_acc=[0.8751     0.78079167], test_loss=[0.39622623 0.6407152 ], test_acc=[0.869  0.7837]
Reference vector (5/18): 0.91577333, 0.40169543
1/100: weights=[1.5661561  0.43384388], train_loss=[1.7834448 2.3982832], train_acc=[0.3862     0.17073333], test_loss=[1.7933636 2.4002419], test_acc=[0.37575 0.1684 ]
2/100: weights=[1.959528   0.04047203], train_loss=[1.4471946 2.3326373], train_acc=[0.51793333 0.22139167], test_loss=[1.4537266 2.333617 ], test_acc=[0.5166 0.2201]
4/100: weights=[1.5457628  0.45423722], train_loss=[1.1611166 2.1726642], train_acc=[0.61810833 0.278225  ], test_loss=[1.160255  2.1691992], test_acc=[0.61955 0.27745]
6/100: weights=[1.4803978 0.5196021], train_loss=[1.0054902 1.9866204], train_acc=[0.67233333 0.33620833], test_loss=[1.00371   1.9735212], test_acc=[0.6734 0.3422]
8/100: weights=[1.8567903  0.14320967], train_loss=[0.8903956 1.8439988], train_acc=[0.70954167 0.38850833], test_loss=[0.8848234 1.828386 ], test_acc=[0.7097  0.39225]
10/100: weights=[1.8053422  0.19465782], train_loss=[0.8127659 1.7202961], train_acc=[0.73531667 0.428225  ], test_loss=[0.8090004 1.7007931], test_acc=[0.7355  0.43465]
12/100: weights=[1.9094924  0.09050766], train_loss=[0.75533956 1.6054844 ], train_acc=[0.75379167 0.46375833], test_loss=[0.7502656 1.5891746], test_acc=[0.75595 0.4713 ]
14/100: weights=[1.8625377  0.13746227], train_loss=[0.71304137 1.5070894 ], train_acc=[0.76804167 0.4957    ], test_loss=[0.70655835 1.4902848 ], test_acc=[0.76905 0.50175]
16/100: weights=[1.7996268  0.20037313], train_loss=[0.6767074 1.4142032], train_acc=[0.78003333 0.52486667], test_loss=[0.6728236 1.3990468], test_acc=[0.7803 0.5303]
18/100: weights=[1.7080518  0.29194814], train_loss=[0.65027475 1.3197732 ], train_acc=[0.78883333 0.55525833], test_loss=[0.6496868 1.3088644], test_acc=[0.7882 0.5562]
20/100: weights=[1.8711909 0.1288091], train_loss=[0.6170641 1.2236475], train_acc=[0.79925833 0.58675   ], test_loss=[0.6127718 1.2093388], test_acc=[0.8005 0.5917]
22/100: weights=[1.632305   0.36769497], train_loss=[0.60165167 1.146652  ], train_acc=[0.80485833 0.61286667], test_loss=[0.6005145 1.1317722], test_acc=[0.8045  0.61775]
24/100: weights=[1.6508619 0.3491382], train_loss=[0.58453876 1.0851997 ], train_acc=[0.810725   0.63478333], test_loss=[0.58286285 1.0736942 ], test_acc=[0.8115  0.63805]
26/100: weights=[1.657309 0.342691], train_loss=[0.5687619 1.0331321], train_acc=[0.81564167 0.65353333], test_loss=[0.5651203 1.0212134], test_acc=[0.81775 0.6574 ]
28/100: weights=[1.7438269 0.2561732], train_loss=[0.54502505 0.99165046], train_acc=[0.82461667 0.66703333], test_loss=[0.5401061 0.9774336], test_acc=[0.8278  0.67235]
30/100: weights=[1.7534207  0.24657926], train_loss=[0.5355806  0.95344466], train_acc=[0.82723333 0.680125  ], test_loss=[0.5318756  0.94174117], test_acc=[0.82825 0.68525]
32/100: weights=[1.7840629  0.21593718], train_loss=[0.5213125 0.923929 ], train_acc=[0.83210833 0.689425  ], test_loss=[0.5188385  0.91223377], test_acc=[0.83465 0.6953 ]
34/100: weights=[1.8193042  0.18069574], train_loss=[0.511191  0.8961594], train_acc=[0.83565    0.69858333], test_loss=[0.5064913 0.8840309], test_acc=[0.8372  0.70505]
36/100: weights=[1.6618987  0.33810124], train_loss=[0.50736666 0.8710237 ], train_acc=[0.83635 0.70705], test_loss=[0.50249416 0.8592127 ], test_acc=[0.83845 0.71455]
38/100: weights=[1.5111188 0.4888813], train_loss=[0.4940109 0.8529408], train_acc=[0.84108333 0.713625  ], test_loss=[0.49033386 0.84094846], test_acc=[0.8426  0.71855]
40/100: weights=[1.9775542  0.02244585], train_loss=[0.48848364 0.83036774], train_acc=[0.842225   0.72128333], test_loss=[0.48501018 0.8174435 ], test_acc=[0.84335 0.7286 ]
42/100: weights=[1.8214631  0.17853692], train_loss=[0.47664234 0.8103254 ], train_acc=[0.8463     0.72818333], test_loss=[0.4745325 0.7959806], test_acc=[0.84685 0.73355]
44/100: weights=[1.6521305  0.34786946], train_loss=[0.4684969 0.7961158], train_acc=[0.848875   0.73279167], test_loss=[0.46785727 0.7842002 ], test_acc=[0.8478  0.73925]
46/100: weights=[1.6175277  0.38247225], train_loss=[0.46384168 0.7792122 ], train_acc=[0.850575   0.73920833], test_loss=[0.46611708 0.7671453 ], test_acc=[0.8488 0.7454]
48/100: weights=[1.558895   0.44110498], train_loss=[0.45745376 0.7688892 ], train_acc=[0.85255833 0.742875  ], test_loss=[0.4574557  0.75998443], test_acc=[0.85115 0.746  ]
50/100: weights=[1.6829119  0.31708813], train_loss=[0.45299724 0.7548237 ], train_acc=[0.85391667 0.747125  ], test_loss=[0.45309603 0.7410971 ], test_acc=[0.8523 0.7528]
52/100: weights=[1.3595557  0.64044434], train_loss=[0.43871662 0.7442343 ], train_acc=[0.85875    0.75063333], test_loss=[0.4395782  0.73173124], test_acc=[0.85805 0.7571 ]
54/100: weights=[1.9343315  0.06566845], train_loss=[0.43966547 0.7348996 ], train_acc=[0.85895833 0.75395833], test_loss=[0.43959528 0.72200567], test_acc=[0.85775 0.7587 ]
56/100: weights=[1.4249842 0.5750157], train_loss=[0.4347557  0.71914667], train_acc=[0.859975   0.75905833], test_loss=[0.43443638 0.70568067], test_acc=[0.86015 0.76575]
58/100: weights=[1.8046875  0.19531247], train_loss=[0.4340489  0.71025455], train_acc=[0.86085    0.76205833], test_loss=[0.4387713 0.6988604], test_acc=[0.8581 0.7681]
60/100: weights=[1.4611892 0.5388109], train_loss=[0.41911823 0.70114976], train_acc=[0.865225   0.76544167], test_loss=[0.42009926 0.69085765], test_acc=[0.8646  0.77085]
62/100: weights=[1.8166494  0.18335062], train_loss=[0.41852164 0.69079787], train_acc=[0.864675 0.76915 ], test_loss=[0.42025894 0.6795105 ], test_acc=[0.8646 0.7739]
64/100: weights=[1.8718379  0.12816209], train_loss=[0.4185635  0.68504727], train_acc=[0.865175 0.7709  ], test_loss=[0.42369702 0.67433614], test_acc=[0.86345 0.7774 ]
66/100: weights=[1.1545613  0.84543866], train_loss=[0.40535876 0.673913  ], train_acc=[0.86893333 0.77488333], test_loss=[0.40851757 0.6637202 ], test_acc=[0.86785 0.78115]
68/100: weights=[1.5725002  0.42749983], train_loss=[0.40017626 0.66841567], train_acc=[0.87041667 0.77594167], test_loss=[0.4028448 0.6569643], test_acc=[0.8685 0.783 ]
70/100: weights=[1.8666675  0.13333252], train_loss=[0.3974309 0.6571455], train_acc=[0.87238333 0.78004167], test_loss=[0.40202463 0.64807785], test_acc=[0.87115 0.78525]
72/100: weights=[1.7208169 0.2791832], train_loss=[0.39946476 0.6526835 ], train_acc=[0.87151667 0.78075833], test_loss=[0.40641862 0.6458411 ], test_acc=[0.86865 0.7881 ]
74/100: weights=[1.7101947  0.28980523], train_loss=[0.39338285 0.6470461 ], train_acc=[0.87328333 0.78278333], test_loss=[0.3973984  0.63772297], test_acc=[0.8723  0.78905]
76/100: weights=[1.7974702  0.20252973], train_loss=[0.3968238 0.6387177], train_acc=[0.87198333 0.78571667], test_loss=[0.4015112 0.6289145], test_acc=[0.8694 0.7917]
78/100: weights=[1.9372004 0.0627996], train_loss=[0.3827844  0.63118654], train_acc=[0.876225   0.78816667], test_loss=[0.3875662  0.62434673], test_acc=[0.8736 0.7948]
80/100: weights=[1.8282386  0.17176142], train_loss=[0.39009866 0.6249898 ], train_acc=[0.87395833 0.79051667], test_loss=[0.3975773 0.6163338], test_acc=[0.87115 0.79745]
82/100: weights=[1.5753796  0.42462042], train_loss=[0.37613118 0.62042475], train_acc=[0.87923333 0.79200833], test_loss=[0.38227332 0.61382556], test_acc=[0.87545 0.7996 ]
84/100: weights=[1.4039071  0.59609294], train_loss=[0.37134674 0.6149179 ], train_acc=[0.88058333 0.79350833], test_loss=[0.3773543  0.60861695], test_acc=[0.8775 0.8014]
86/100: weights=[1.8792931  0.12070695], train_loss=[0.37600487 0.61239636], train_acc=[0.87924167 0.79479167], test_loss=[0.38556743 0.60590625], test_acc=[0.87375 0.8    ]
88/100: weights=[1.6547725 0.3452275], train_loss=[0.36793056 0.606522  ], train_acc=[0.88170833 0.79636667], test_loss=[0.37737328 0.59957975], test_acc=[0.8771  0.80385]
90/100: weights=[1.2131646  0.78683543], train_loss=[0.36271074 0.59893864], train_acc=[0.88295    0.79915833], test_loss=[0.36947617 0.59101635], test_acc=[0.8812 0.8069]
92/100: weights=[1.9149915  0.08500855], train_loss=[0.36158022 0.5940401 ], train_acc=[0.8839     0.80070833], test_loss=[0.370726   0.58777416], test_acc=[0.87845 0.8076 ]
94/100: weights=[1.7504113  0.24958871], train_loss=[0.36321023 0.59279746], train_acc=[0.88333333 0.801575  ], test_loss=[0.37033084 0.5880701 ], test_acc=[0.8775 0.8072]
96/100: weights=[1.7793655  0.22063446], train_loss=[0.35303944 0.58392763], train_acc=[0.88651667 0.80345833], test_loss=[0.36278266 0.58022213], test_acc=[0.88135 0.8093 ]
98/100: weights=[1.7252344  0.27476558], train_loss=[0.3556909 0.5803625], train_acc=[0.884875   0.80431667], test_loss=[0.3641717  0.57699996], test_acc=[0.8806 0.8121]
100/100: weights=[1.6218132  0.37818682], train_loss=[0.3529496  0.57618016], train_acc=[0.88583333 0.806325  ], test_loss=[0.36081493 0.5736367 ], test_acc=[0.8843  0.81325]
Reference vector (6/18): 0.87947375, 0.47594738
1/100: weights=[1.3508682  0.64913183], train_loss=[1.9611477 2.2459152], train_acc=[0.31765833 0.20074167], test_loss=[1.950995  2.2500646], test_acc=[0.31825 0.19875]
2/100: weights=[1.7510326  0.24896747], train_loss=[1.7506851 2.1528983], train_acc=[0.390325   0.25328333], test_loss=[1.7398674 2.1540208], test_acc=[0.3928 0.2557]
4/100: weights=[1.6008657  0.39913434], train_loss=[1.426049  1.9999056], train_acc=[0.5188     0.31928333], test_loss=[1.4017562 2.0015168], test_acc=[0.52505 0.32275]
6/100: weights=[1.9506319  0.04936813], train_loss=[1.2312511 1.8768744], train_acc=[0.5868     0.36349167], test_loss=[1.2002943 1.8734479], test_acc=[0.59825 0.3682 ]
8/100: weights=[1.7801027  0.21989727], train_loss=[1.1013634 1.7736057], train_acc=[0.63109167 0.39831667], test_loss=[1.0683875 1.7665435], test_acc=[0.64465 0.4073 ]
10/100: weights=[1.6362473 0.3637527], train_loss=[1.0072143 1.6694719], train_acc=[0.665475   0.43046667], test_loss=[0.9746872 1.6597844], test_acc=[0.67545 0.438  ]
12/100: weights=[0.7484531 1.251547 ], train_loss=[0.9362112 1.5664445], train_acc=[0.68881667 0.4608    ], test_loss=[0.9078514 1.5560033], test_acc=[0.70095 0.46765]
14/100: weights=[1.5237435  0.47625655], train_loss=[0.8829827 1.4743278], train_acc=[0.70824167 0.48851667], test_loss=[0.857446  1.4624904], test_acc=[0.71885 0.4935 ]
16/100: weights=[1.61417    0.38583004], train_loss=[0.83944845 1.3842359 ], train_acc=[0.72175833 0.51700833], test_loss=[0.8107597 1.3719324], test_acc=[0.7322  0.52095]
18/100: weights=[1.7520801  0.24791993], train_loss=[0.8040058 1.3091937], train_acc=[0.73560833 0.54265833], test_loss=[0.7774583 1.2977071], test_acc=[0.74205 0.54205]
20/100: weights=[1.2982682  0.70173174], train_loss=[0.7770519 1.2410662], train_acc=[0.74426667 0.565975  ], test_loss=[0.7534511 1.2333682], test_acc=[0.74955 0.56265]
22/100: weights=[1.4569029  0.54309714], train_loss=[0.7489362 1.1811415], train_acc=[0.75385833 0.58543333], test_loss=[0.7241615 1.1735408], test_acc=[0.7585  0.58355]
24/100: weights=[1.1667655 0.8332346], train_loss=[0.7248611 1.1265154], train_acc=[0.76175    0.60613333], test_loss=[0.7005468 1.1192815], test_acc=[0.76615 0.6044 ]
26/100: weights=[1.6958578  0.30414218], train_loss=[0.71638423 1.0866039 ], train_acc=[0.76416667 0.61943333], test_loss=[0.68775094 1.0811386 ], test_acc=[0.7715 0.6193]
28/100: weights=[1.4792956  0.52070445], train_loss=[0.6890241 1.0506454], train_acc=[0.77329167 0.63131667], test_loss=[0.6651548 1.0426701], test_acc=[0.779   0.63245]
30/100: weights=[1.4725748  0.52742517], train_loss=[0.6829846 1.0191644], train_acc=[0.776225   0.64308333], test_loss=[0.656235  1.0134103], test_acc=[0.7827  0.64455]
32/100: weights=[1.3425031  0.65749687], train_loss=[0.66836554 0.9923181 ], train_acc=[0.78138333 0.65124167], test_loss=[0.64165056 0.9877649 ], test_acc=[0.7893 0.6534]
34/100: weights=[1.33899 0.66101], train_loss=[0.656169  0.9778799], train_acc=[0.78488333 0.65881667], test_loss=[0.6310707  0.97530454], test_acc=[0.79185 0.65885]
36/100: weights=[1.3106538  0.68934625], train_loss=[0.6388819 0.9526923], train_acc=[0.79198333 0.66951667], test_loss=[0.6162339 0.9506702], test_acc=[0.79985 0.66935]
38/100: weights=[1.2398769  0.76012313], train_loss=[0.63191366 0.93229836], train_acc=[0.793025 0.676725], test_loss=[0.6089523  0.92894757], test_acc=[0.8013 0.6758]
40/100: weights=[1.5609227  0.43907723], train_loss=[0.62351495 0.91666627], train_acc=[0.79646667 0.6807    ], test_loss=[0.5994214 0.9150745], test_acc=[0.8029 0.6803]
42/100: weights=[1.651593 0.348407], train_loss=[0.60926473 0.90098226], train_acc=[0.80105833 0.68665   ], test_loss=[0.5848635 0.8969561], test_acc=[0.8089 0.6878]
44/100: weights=[1.6407709 0.3592291], train_loss=[0.6196042 0.8893565], train_acc=[0.79645    0.69171667], test_loss=[0.6008219 0.8893183], test_acc=[0.80115 0.6945 ]
46/100: weights=[1.5182061  0.48179385], train_loss=[0.59332186 0.8759252 ], train_acc=[0.8052     0.69634167], test_loss=[0.57249737 0.8752654 ], test_acc=[0.8114 0.6993]
48/100: weights=[1.5964342 0.4035657], train_loss=[0.5871121 0.859982 ], train_acc=[0.80793333 0.70023333], test_loss=[0.56821626 0.8556984 ], test_acc=[0.8132 0.7032]
50/100: weights=[1.7151774  0.28482264], train_loss=[0.59052753 0.8490917 ], train_acc=[0.806125 0.7041  ], test_loss=[0.5726978  0.84605265], test_acc=[0.8117 0.7077]
52/100: weights=[1.7946923 0.2053077], train_loss=[0.57965   0.8353173], train_acc=[0.811575 0.7104  ], test_loss=[0.5587524 0.8321259], test_acc=[0.81785 0.71255]
54/100: weights=[1.4705381  0.52946186], train_loss=[0.56534773 0.8285524 ], train_acc=[0.81568333 0.71379167], test_loss=[0.54457927 0.8263354 ], test_acc=[0.82205 0.71585]
56/100: weights=[1.7801732  0.21982682], train_loss=[0.5587566 0.813354 ], train_acc=[0.81753333 0.71894167], test_loss=[0.5401378 0.8130108], test_acc=[0.8213  0.72025]
58/100: weights=[1.7050169 0.2949831], train_loss=[0.563292  0.8034357], train_acc=[0.8169  0.72145], test_loss=[0.5421878 0.8007273], test_acc=[0.8243  0.72355]
60/100: weights=[1.592906 0.407094], train_loss=[0.5442171  0.79530793], train_acc=[0.82344167 0.72521667], test_loss=[0.52828366 0.7928126 ], test_acc=[0.829   0.72805]
62/100: weights=[1.4964113 0.5035887], train_loss=[0.54194915 0.78836805], train_acc=[0.824125   0.72653333], test_loss=[0.5231306  0.78370875], test_acc=[0.82985 0.72885]
64/100: weights=[1.5256684  0.47433165], train_loss=[0.53330463 0.77555346], train_acc=[0.827425   0.73338333], test_loss=[0.5165125  0.77365685], test_acc=[0.83315 0.73565]
66/100: weights=[1.6665778  0.33342218], train_loss=[0.53201354 0.7722535 ], train_acc=[0.827675   0.73524167], test_loss=[0.5167145  0.77186733], test_acc=[0.8329 0.7376]
68/100: weights=[1.201849 0.798151], train_loss=[0.5212221 0.7623118], train_acc=[0.830825   0.73846667], test_loss=[0.505389  0.7600046], test_acc=[0.835   0.74035]
70/100: weights=[1.7494512  0.25054878], train_loss=[0.5231541  0.75513804], train_acc=[0.83026667 0.74001667], test_loss=[0.5065885 0.7533907], test_acc=[0.83335 0.74365]
72/100: weights=[1.7181562  0.28184384], train_loss=[0.52526796 0.75084233], train_acc=[0.8294     0.74338333], test_loss=[0.51359355 0.75127655], test_acc=[0.8326  0.74655]
74/100: weights=[1.5355692 0.4644308], train_loss=[0.50701636 0.74103326], train_acc=[0.83483333 0.745525  ], test_loss=[0.49312785 0.7366395 ], test_acc=[0.839   0.74845]
76/100: weights=[1.5704386  0.42956132], train_loss=[0.50059056 0.734131  ], train_acc=[0.837475 0.74775 ], test_loss=[0.48608387 0.7294557 ], test_acc=[0.8407  0.75225]
78/100: weights=[1.4915783 0.5084217], train_loss=[0.49934894 0.7263601 ], train_acc=[0.837875   0.75019167], test_loss=[0.48764503 0.72398806], test_acc=[0.84255 0.75325]
80/100: weights=[1.3745642 0.6254358], train_loss=[0.49881297 0.72304946], train_acc=[0.83779167 0.75130833], test_loss=[0.48725024 0.7190302 ], test_acc=[0.8416  0.75705]
82/100: weights=[1.7989982 0.2010018], train_loss=[0.49175525 0.71462244], train_acc=[0.84100833 0.75469167], test_loss=[0.477335   0.71211815], test_acc=[0.8447 0.757 ]
84/100: weights=[1.6182054  0.38179457], train_loss=[0.48358634 0.7116393 ], train_acc=[0.84370833 0.756025  ], test_loss=[0.47115684 0.70912164], test_acc=[0.8455 0.7585]
